run,best_fit,runtime_sec,conv_gen_1pct
1,7293,0.23592970000754576,54
2,7293,0.23742740000307094,46
3,7293,0.2831410000071628,341
4,7293,0.2491503999917768,59
5,7569,0.2390025000058813,20
6,7622,0.2440550000028452,24
7,7622,0.2642162999982247,21
8,7569,0.2599936000042362,105
9,7293,0.23055249999742955,50
10,7293,0.2362585999944713,15
11,7622,0.21681440000247676,63
12,7622,0.2423923000023933,64
13,7622,0.25503800000296906,37
14,7622,0.2568082000070717,17
15,7569,0.22947890000068583,8
16,7622,0.24229580000974238,31
17,7293,0.24200999998720363,21
18,7293,0.24247399999876507,183
19,7293,0.21309400000609457,67
20,7622,0.23631700000260025,25
21,7293,0.2500017999991542,12
22,7622,0.2316508999938378,38
23,7295,0.25029779999749735,388
24,7569,0.2596573000046192,12
25,7622,0.23323949999758042,63
26,7293,0.24387019999267068,27
27,7293,0.22186230000806972,61
28,7293,0.24515809999138582,20
29,7293,0.24921460000041407,98
30,7293,0.24962899999809451,24
