run,best_fit,runtime_sec,conv_gen_1pct
1,7293,0.24605560000054538,13
2,7569,0.2855831000051694,31
3,7622,0.24304479999409523,18
4,7622,0.2623837999999523,25
5,7293,0.24497359999804758,15
6,7293,0.22736759998952039,26
7,7622,0.2411526999931084,22
8,7293,0.2102601000078721,25
9,7293,0.2305317999998806,26
10,7293,0.24844450000091456,45
11,7295,0.24426759999187198,307
12,7569,0.25499349999881815,17
13,7569,0.26039949999540113,28
14,7622,0.2545207999937702,38
15,7569,0.2405352999921888,145
16,7622,0.25176939999801107,16
17,7293,0.23197020000952762,12
18,7569,0.22257929999614134,124
19,7293,0.25826469999447,17
20,7622,0.2482114000013098,90
21,7293,0.23836869999649934,30
22,7293,0.24195599999802653,35
23,7293,0.22527320000517648,54
24,7569,0.23757099999056663,39
25,7293,0.2319914000108838,58
26,7622,0.219695399995544,125
27,7622,0.25121599998965394,60
28,7293,0.2558405000017956,44
29,7293,0.22791099999449216,36
30,7622,0.23146950000955258,27
